"id","latin","clade","tested","rhythmic_self","rhythmic_frac","rhythmic_paper","jaccard_vs_paper"
"Syn","Synechocystis sp. PCC 6803","Cyanobacteria",3467,2488,71.8,2440,0.972
"Cpa","Cyanophora paradoxa","Glaucophyte",16965,12219,72,12343,1
"Ppu","Porphyridium purpureum","Rhodophyte",8045,6591,81.9,6597,1
"Cre","Chlamydomonas reinhardtii","Chlorophyte(green alga)",14929,12106,81.1,12341,1
"Kni","Klebsormidium nitens","Charophyte",12058,9348,77.5,9375,1
"Ppa","Physcomitrella patens","Moss",21366,11656,54.6,11692,1
"Smo","Selaginella moellendorffii","Lycophyte",16486,11738,71.2,11860,1
"Pab","Picea abies","Gymnosperm(spruce)",17535,2136,12.2,5280,1
"Osa","Oryza sativa","Monocot(rice)",24957,8082,32.4,8082,1
"Ath","Arabidopsis thaliana","Eudicot(Arabidopsis)",14019,5676,40.5,5676,1
