"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","Count"
"GO:0007623","circadian rhythm","95/4344","137/10625",1.18071863091783e-11,1.14529707199029e-08,95
"GO:0048511","rhythmic process","95/4344","137/10625",1.18071863091783e-11,1.14529707199029e-08,95
"GO:0009415","response to water","178/4344","329/10625",6.15628439723211e-07,0.000328493151192105,178
"GO:0009414","response to water deprivation","175/4344","323/10625",6.77305466375473e-07,0.000328493151192105,175
"GO:0001101","response to acid chemical","184/4344","350/10625",4.76978968541231e-06,0.00185067839793998,184
"GO:0015995","chlorophyll biosynthetic process","41/4344","59/10625",7.92899005433241e-06,0.00256370678423414,41
"GO:0009409","response to cold","174/4344","332/10625",1.09117969232073e-05,0.00302412657586031,174
"GO:0006779","porphyrin-containing compound biosynthetic process","44/4344","66/10625",1.97091980643378e-05,0.00452418681467499,44
"GO:0010114","response to red light","38/4344","55/10625",2.09884955319974e-05,0.00452418681467499,38
"GO:0015994","chlorophyll metabolic process","52/4344","82/10625",3.00186533634286e-05,0.00582361875250515,52
"GO:0006979","response to oxidative stress","158/4344","303/10625",3.88460554426531e-05,0.00685103159624972,158
"GO:0009642","response to light intensity","78/4344","135/10625",5.01787214126055e-05,0.00811222662837122,78
"GO:0042752","regulation of circadian rhythm","35/4344","52/10625",0.000103088310279266,0.0146884971671428,35
"GO:0009617","response to bacterium","186/4344","369/10625",0.000105999464092783,0.0146884971671428,186
"GO:0042254","ribosome biogenesis","140/4344","269/10625",0.00011812028396811,0.0152768900598755,140
"GO:0001676","long-chain fatty acid metabolic process","31/4344","45/10625",0.000132036115798116,0.0158849001028171,31
"GO:0009639","response to red or far red light","98/4344","180/10625",0.000146581980188305,0.0158849001028171,98
"GO:0034284","response to monosaccharide","41/4344","64/10625",0.000147385671057065,0.0158849001028171,41
"GO:0033014","tetrapyrrole biosynthetic process","44/4344","70/10625",0.000163158144201755,0.0166593052500739,44
"GO:0006778","porphyrin-containing compound metabolic process","56/4344","94/10625",0.000185398529277207,0.0179836573398891,56
"GO:0009746","response to hexose","39/4344","61/10625",0.000226388744413664,0.0206139801698082,39
"GO:0009644","response to high light intensity","40/4344","63/10625",0.000234797684624254,0.0206139801698082,40
"GO:0009694","jasmonic acid metabolic process","25/4344","35/10625",0.000244392548404942,0.0206139801698082,25
"GO:0036294","cellular response to decreased oxygen levels","82/4344","149/10625",0.000311797060599207,0.0239315481054656,82
"GO:0071453","cellular response to oxygen levels","82/4344","149/10625",0.000311797060599207,0.0239315481054656,82
"GO:0071456","cellular response to hypoxia","81/4344","147/10625",0.000320732088011395,0.0239315481054656,81
"GO:0016072","rRNA metabolic process","111/4344","211/10625",0.00033950414629534,0.0243940016227022,111
"GO:0033013","tetrapyrrole metabolic process","56/4344","96/10625",0.00039700576336711,0.0275068278904355,56
"GO:1901659","glycosyl compound biosynthetic process","31/4344","47/10625",0.00044239629748089,0.029100918585188,31
"GO:0015979","photosynthesis","96/4344","180/10625",0.000450014204925588,0.029100918585188,96
"GO:0042742","defense response to bacterium","150/4344","298/10625",0.00051633672618833,0.0323126854453342,150
"GO:0006534","cysteine metabolic process","17/4344","22/10625",0.000572639179337587,0.0339377173718536,17
"GO:0016144","S-glycoside biosynthetic process","27/4344","40/10625",0.000594784737444858,0.0339377173718536,27
"GO:0019761","glucosinolate biosynthetic process","27/4344","40/10625",0.000594784737444858,0.0339377173718536,27
"GO:0042026","protein refolding","22/4344","31/10625",0.000670570447641199,0.0371687619549693,22
"GO:0009408","response to heat","104/4344","200/10625",0.000876225964146642,0.0472188436234579,104
