"sp1","sp2","n_1to1","n_both_rhythmic","dphase_obs","dphase_exp","ratio","emp_p"
"Syn","Cpa",488,291,5.24,5.94,0.882,0.000999000999000999
"Syn","Ppu",535,300,6.7,6.53,1.026,0.802197802197802
"Syn","Cre",559,351,4.62,5.8,0.796,0.000999000999000999
"Syn","Kni",672,365,6.28,6.39,0.983,0.263736263736264
"Syn","Ppa",366,151,5.39,5.58,0.966,0.197802197802198
"Syn","Smo",504,298,6.19,6.34,0.977,0.218781218781219
"Syn","Osa",426,121,5.56,6.16,0.903,0.025974025974026
"Syn","Ath",461,129,5.95,6,0.991,0.441558441558442
"Cpa","Ppu",1896,1220,5.38,5.61,0.96,0.003996003996004
"Cpa","Cre",2389,1530,3.93,5.47,0.717,0.000999000999000999
"Cpa","Kni",2735,1659,4.79,4.9,0.978,0.0529470529470529
"Cpa","Ppa",1384,607,3.92,4.57,0.856,0.000999000999000999
"Cpa","Smo",1887,1201,4.55,4.88,0.934,0.000999000999000999
"Cpa","Osa",1579,483,4.44,5.54,0.8,0.000999000999000999
"Cpa","Ath",1573,424,5.35,5.71,0.938,0.015984015984016
"Ppu","Cre",2061,1359,5.42,5.92,0.916,0.000999000999000999
"Ppu","Kni",2304,1578,4.99,5.21,0.957,0.000999000999000999
"Ppu","Ppa",1210,645,5.59,5.92,0.945,0.000999000999000999
"Ppu","Smo",1686,1192,4.84,5.34,0.905,0.000999000999000999
"Ppu","Osa",1414,483,5.69,5.88,0.968,0.0929070929070929
"Ppu","Ath",1441,420,5.49,5.9,0.93,0.000999000999000999
"Cre","Kni",3530,2175,5.15,5.66,0.91,0.000999000999000999
"Cre","Ppa",1793,825,4.88,5.52,0.885,0.000999000999000999
"Cre","Smo",2411,1588,5.48,5.67,0.966,0.002997002997003
"Cre","Pab",1200,36,5.42,5.68,0.953,0.325674325674326
"Cre","Osa",2022,648,4.89,5.88,0.831,0.000999000999000999
"Cre","Ath",2019,569,6.07,5.95,1.02,0.803196803196803
"Kni","Ppa",2572,1228,4.46,4.64,0.961,0.001998001998002
"Kni","Smo",3299,2159,4.39,4.85,0.905,0.000999000999000999
"Kni","Pab",1734,48,6.6,6.32,1.046,0.761238761238761
"Kni","Osa",2830,917,5.15,5.62,0.916,0.000999000999000999
"Kni","Ath",2875,754,5.12,5.65,0.906,0.000999000999000999
"Ppa","Smo",2029,959,4.07,4.43,0.919,0.000999000999000999
"Ppa","Osa",2028,442,4.31,5.18,0.832,0.000999000999000999
"Ppa","Ath",2065,385,4.6,5.3,0.867,0.000999000999000999
"Smo","Pab",1556,40,6.68,6.21,1.076,0.86013986013986
"Smo","Osa",2455,795,4.88,5.58,0.875,0.000999000999000999
"Smo","Ath",2460,661,5.29,5.76,0.918,0.000999000999000999
"Osa","Ath",3112,426,4.79,5.92,0.809,0.000999000999000999
